已配數量,車型,顏色,年份,在庫數,向金鈴提車,領牌車,排序
5,SWIFT GLX,白,正26,5,0,0,V-72/J-58
0,SWIFT GLX,銀,正26,0,0,0,J62-J-69
0,SWIFT GLX,藍,領牌,0,0,1,領牌車
3,SWIFT GLX 2T,紅黑,正25,3,0,0,V-39
2,SWIFT GLX 2T,黃灰,正25,2,0,0,V-67/V-71
3,JIMNY,白,正25,2,0,1,VV
2,JIMNY,灰,正25,2,0,0,J-168交26年車
4,JIMNY,綠,正25,0,0,4,ZZC
4,JIMNY 2T,藍黑,正25,1,0,3,P
2,JIMNY 2T,黃黑,正25,0,0,2,DG5
0,SX4 GLX 2WD,灰,正25,0,0,0,J-48
0,SX4 GLX 4WD,白,正25,0,0,0,P-43
0,VITARA S ALLGRIP,白,正25,0,0,0,P-50
1,eVITARA S 電車,白,正25,0,0,1,P
1,eVITARA S 電車,灰,領牌,0,0,1,領牌車
0,eVITARA S ALLGRIP,綠,正25,0,0,0,K-35
5,CARRY GLX,白,正25,3,1,1,10
2,CARRY GLX,銀,正25,2,0,0,8
1,CARRY GLX,黑,正25,0,0,1,ZBC
